,simple,random,ppo,ddpg,sac,td3,tqc
46,-6084.3704579109235,-41864.682343243316,-45437.22477529873,-5192.647758997075,-5184.974475588528,-5179.789701184651,-8288.52506588167
47,-4076.869428307053,-29950.62467946101,-30776.34158408136,-3234.626202628712,-8929.909609813845,-3183.5607808417776,-5207.568501497235
48,-31680.032890257007,-39457.70385138402,-45199.632118149784,-31846.398840587397,-31847.954568293895,-31843.06463491982,-32190.96266502499
49,-3245.506099367652,-28501.93613790474,-29200.292607986834,-3747.7301161765254,-3003.072026482027,-2994.3488166099705,-9104.49803148641
50,-3100.90734435416,-28532.47793495093,-32706.58570558071,-3208.146474854282,-3217.0522841796205,-3205.759072376132,-6091.277238871387
51,-35471.38176142926,-78438.82383002988,-61607.33121326174,-35607.201379848804,-35619.50667275711,-35599.0906810988,-35669.59626377249
52,-31927.280186892698,-40153.60566289176,-40667.95819870338,-29683.372735762117,-29764.155285127126,-29677.869985762118,-29769.778159747042
53,-4083.3870642940965,-31034.417463419173,-33049.72197319289,-3438.6286037494733,-3438.237851714668,-3436.5559876428188,-6464.328169179588
54,-6935.951543018715,-29288.965106144995,-31909.382176241947,-3647.9071975913907,-3325.655946460718,-2551.1874066889973,-5500.03006796557
55,-4039.654636179558,-33222.12238807269,-34193.53041866622,-3425.673701025089,-3420.2184838003277,-3420.2184838003277,-6487.20888426362
56,-9608.242105304633,-53767.5938240134,-61531.254257275774,-10200.776331180063,-9613.106708010066,-9613.106708010066,-15294.464088391493
57,-5461.557477778902,-29800.168741018773,-32775.750594316865,-3314.9682040414013,-3314.621009482874,-3312.4464556324756,-6374.078013792352
58,-3329.609509587087,-26751.099685629397,-30503.38709300755,-3432.440322527801,-2963.011066582906,-2958.7900783704104,-5161.114378270907
59,-5550.88563381849,-34775.64190562405,-37601.85176798617,-4617.7559926371905,-4607.472740378276,-4606.075179328429,-7729.5639074079945
60,-6199.504415102144,-31112.168954629484,-31750.34181668838,-3675.420027131763,-3431.471068332945,-3428.431801717325,-6242.373756940633
61,-5807.467742756021,-36027.73907784507,-36700.76256367443,-3719.6666594197923,-3012.7984816911717,-1950.6117133310286,-5362.533244470723
62,-5960.507536164359,-38439.732345886805,-40682.395178690436,-4685.344405669384,-4682.467083169515,-4675.136697436512,-8129.86354294443
63,-5762.262723460999,-33808.83968434634,-37127.545395397094,-4291.998685983076,-2823.227608501403,-1906.5070240630757,-5198.513974833681
64,-31680.979260894193,-54276.535447122995,-34024.0747570767,-29313.773082898115,-29352.33960272234,-29309.41270319724,-29504.613833468673
65,-5434.16377486953,-30138.01541111889,-32383.406819362273,-3309.323489616291,-3988.568687451272,-3285.665738502682,-6269.703390014584
66,-4789.037933666272,-33229.06495443446,-37373.431420975496,-4181.127531906979,-3343.2289537161596,-3343.2289537161596,-6720.263297758975
67,-6248.367765904437,-43999.88896109535,-49061.85624624306,-5639.4690737185965,-5110.031580539865,-5110.031580539865,-8270.28245287901
68,-35148.163637798825,-54769.71628354131,-54647.464254310995,-35280.92604730251,-35319.59067279175,-35273.69002730252,-35203.406285127494
69,-5509.522346855345,-33342.86855375407,-37593.22797166678,-4558.086038771061,-4551.216538771061,-4551.216538771061,-11355.187786363495
70,-5791.163035048342,-35511.329011753034,-36840.488120033995,-4027.5900309732715,-3320.941228280417,-1947.9323444804713,-5084.222389380326
